08112;Hualpén;Hualpen.svg;;;;;;;;;
08105;Hualqui;Hualqui.svg;;;;;;;;;
01404;Huara;Huara.svg;;;;;;;;;
03304;Huasco;Huasco.svg;;;;;;;;;
13107;Huechuraba;Huechuraba.svg;;;;;;;;;
04201;Illapel;Illapel.png;;;;;;;;;
13108;Independencia;Independencia.svg;;;;;;;;;
01101;Iquique;Iquique.svg;;;;;;;;;
13603;Isla de Maipo;Isla De Maipo.png;;;;;;;;;
05201;Isla de Pascua;Isla De Pascua.svg;;;;;;;;;
05104;Juan Fernández;Juan Fernandez.svg;;;;;;;;;
13109;La Cisterna;La Cisterna.svg;;;;;;;;;
05504;La Cruz;La Cruz.png;;;;;;;;;
06202;La Estrella;La Estrella.svg;;;;;;;;;
13110;La Florida;La Florida.svg;;;;;;;;;
13111;La Granja;La Granja.svg;;;;;;;;;
04104;La Higuera;La Higuera.svg;;;;;;;;;
05401;La Ligua;La Ligua.svg;;;;;;;;;
13112;La Pintana;La Pintana.svg;;;;;;;;;
13113;La Reina;La Reina.svg;;;;;;;;;
04101;La Serena;La Serena.svg;;;;;;;;;
14201;La Unión;La Union.svg;;;;;;;;;
14203;Lago Ranco;Lago Ranco.svg;;;;;;;;;
11102;Lago Verde;Lago Verde.png;;;;;;;;;
12102;Laguna Blanca;Laguna Blanca.png;;;;;;;;;
08304;Laja;Laja.svg;;;;;;;;;
13302;Lampa;Lampa.svg;;;;;;;;;
14103;Lanco;Lanco.png;;;;;;;;;
06107;Las Cabras;Las Cabras.png;;;;;;;;;
13114;Las Condes;Las Condes.svg;;;;;;;;;
09108;Lautaro;Lautaro.svg;;;;;;;;;
08201;Lebu;Lebu.svg;;;;;;;;;
07303;Licantén;Licanten.svg;;;;;;;;;
05802;Limache;Limache.svg;;;;;;;;;
07401;Linares;Linares.svg;;;;;;;;;
06203;Litueche;Litueche.png;;;;;;;;;
05703;Llaillay;Llay Llay.svg;;;;;;;;;
10107;Llanquihue;Llanquihue.png;;;;;;;;;
13115;Lo Barnechea;Lo Barnechea.png;;;;;;;;;
13116;Lo Espejo;Lo Espejo.png;;;;;;;;;
13117;Lo Prado;Lo Prado.svg;;;;;;;;;
06304;Lolol;Lolol.svg;;;;;;;;;
09109;Loncoche;Loncoche.png;;;;;;;;;
07403;Longaví;Longavi.png;;;;;;;;;
09205;Lonquimay;Lonquimay.png;;;;;;;;;
08206;Los Álamos;Los Alamos.svg;;;;;;;;;
05301;Los Andes;Los Andes.svg;;;;;;;;;
08301;Los Ángeles;Los Angeles.svg;;;;;;;;;
14104;Los Lagos;Los Lagos.svg;;;;;;;;;
10106;Los Muermos;Los Muermos.png;;;;;;;;;
09206;Los Sauces;Los Sauces.svg;;;;;;;;;
04203;Los Vilos;Los Vilos.png;;;;;;;;;
08106;Lota;Lota.svg;;;;;;;;;
09207;Lumaco;Lumaco.png;;;;;;;;;
06108;Machalí;Machali.png;;;;;;;;;
13118;Macul;Macul.svg;;;;;;;;;
14105;Máfil;Mafil.png;;;;;;;;;
13119;Maipú;Maipu.svg;;;;;;;;;
06109;Malloa;Malloa.png;;;;;;;;;
06204;Marchihue;Marchihue.png;;;;;;;;;
02302;María Elena;Maria Elena.svg;;;;;;;;;
13504;María Pinto;Maria Pinto.png;;;;;;;;;
14106;Mariquina;Mariquina.svg;;;;;;;;;
07105;Maule;Maule.png;;;;;;;;;
10108;Maullín;Maullin.svg;;;;;;;;;
02102;Mejillones;Mejillones.svg;;;;;;;;;
09110;Melipeuco;Melipeuco.png;;;;;;;;;
13501;Melipilla;Melipilla.svg;;;;;;;;;
07304;Molina;Molina.png;;;;;;;;;
04303;Monte Patria;Monte Patria.svg;;;;;;;;;
06110;Mostazal;Mostazal.png;;;;;;;;;
08305;Mulchén;Mulchen.png;;;;;;;;;
08306;Nacimiento;Nacimiento.svg;;;;;;;;;
06305;Nancagua;Nancagua.png;;;;;;;;;
12401;Natales;Natales.svg;;;;;;;;;
06205;Navidad;Navidad.png;;;;;;;;;
08307;Negrete;Negrete.svg;;;;;;;;;
16204;Ninhue;Ninhue.svg;;;;;;;;;
16303;Ñiquén;Ñiquen.svg;;;;;;;;;
05506;Nogales;Nogales.png;;;;;;;;;
09111;Nueva Imperial;Nueva Imperial.svg;;;;;;;;;
13120;Ñuñoa;Ñuñoa.svg;;;;;;;;;
06111;Olivar;Olivar.svg;;;;;;;;;
02202;Ollagüe;Ollagüe.svg;;;;;;;;;
05803;Olmué;Olmue.svg;;;;;;;;;
10301;Osorno;Osorno.svg;;;;;;;;;
04301;Ovalle;Ovalle.svg;;;;;;;;;
11302;O’Higgins;OHiggins.png;;;;;;;;;
13604;Padre Hurtado;Padre Hurtado.png;;;;;;;;;
09112;Padre las Casas;Padre Las Casas.svg;;;;;;;;;
04105;Paiguano;Paiguano.png;;;;;;;;;
14107;Paillaco;Paillaco.png;;;;;;;;;
13404;Paine;Paine.svg;;;;;;;;;
10404;Palena;Palena.png;;;;;;;;;
06306;Palmilla;Palmilla.png;;;;;;;;;
14108;Panguipulli;Panguipulli.svg;;;;;;;;;
05704;Panquehue;Panquehue.svg;;;;;;;;;
05403;Papudo;Papudo.svg;;;;;;;;;
06206;Paredones;Paredones.png;;;;;;;;;
07404;Parral;Parral.svg;;;;;;;;;
13121;Pedro Aguirre Cerda;Pedro Aguirre Cerda.svg;;;;;;;;;
07106;Pelarco;Pelarco.png;;;;;;;;;
07203;Pelluhue;Pelluhue.png;;;;;;;;;
16105;Pemuco;Pemuco.svg;;;;;;;;;
13605;Peñaflor;Peñaflor.svg;;;;;;;;;
13122;Peñalolén;Peñalolen.svg;;;;;;;;;
07107;Pencahue;Pencahue.png;;;;;;;;;
08107;Penco;Penco.svg;;;;;;;;;
06307;Peralillo;Peralillo.png;;;;;;;;;
09113;Perquenco;Perquenco.png;;;;;;;;;
05404;Petorca;Petorca.png;;;;;;;;;
06112;Peumo;Peumo.svg;;;;;;;;;
01405;Pica;Pica.svg;;;;;;;;;
06113;Pichidegua;Pichidehua.png;;;;;;;;;
06201;Pichilemu;Pichilemu.svg;;;;;;;;;
16106;Pinto;Pinto.svg;;;;;;;;;
13202;Pirque;Pirque.svg;;;;;;;;;
09114;Pitrufquén;Pitrufquen.svg;;;;;;;;;
06308;Placilla;Placilla.svg;;;;;;;;;
16205;Portezuelo;Portezuelo.svg;;;;;;;;;
12301;Porvenir;Porvenir.svg;;;;;;;;;
01401;Pozo Almonte;Pozo Almonte.svg;;;;;;;;;
12302;Primavera;Primavera.png;;;;;;;;;
13123;Providencia;Providencia.svg;;;;;;;;;
05105;Puchuncaví;Puchuncavi.png;;;;;;;;;
09115;Pucón;Pucon.svg;;;;;;;;;
13124;Pudahuel;Pudahuel.svg;;;;;;;;;
13201;Puente Alto;Puente Alto.svg;;;;;;;;;
10101;Puerto Montt;Puerto Montt.svg;;;;;;;;;
10302;Puerto Octay;Puerto Octay.svg;;;;;;;;;
10109;Puerto Varas;Puerto Varas.svg;;;;;;;;;
06309;Pumanque;Pumanque.png;;;;;;;;;
04304;Punitaqui;Punitaqui.png;;;;;;;;;
12101;Punta Arenas;Punta Arenas.svg;;;;;;;;;
10206;Puqueldón;Puqueldon.svg;;;;;;;;;
09208;Purén;Puren.svg;;;;;;;;;
10303;Purranque;Purranque.png;;;;;;;;;
05705;Putaendo;Putaendo.svg;;;;;;;;;
15201;Putre;Putre.svg;;;;;;;;;
10304;Puyehue;Puyehue.png;;;;;;;;;
10207;Queilén;Queilen.png;;;;;;;;;
10208;Quellón;Quellon.png;;;;;;;;;
10209;Quemchi;Quemchi.png;;;;;;;;;
08308;Quilaco;Quilaco.svg;;;;;;;;;
13125;Quilicura;Quilicura.svg;;;;;;;;;
08309;Quilleco;Quilleco.svg;;;;;;;;;
16107;Quillón;Quillon.svg;;;;;;;;;
05501;Quillota;Quillota.svg;;;;;;;;;
05801;Quilpué;Quilpue.svg;;;;;;;;;
10210;Quinchao;Quinchao.png;;;;;;;;;
06114;Quinta de Tilcoco;Quinta De Tilcoco.png;;;;;;;;;
13126;Quinta Normal;Quinta Normal.svg;;;;;;;;;
05107;Quintero;Quintero.png;;;;;;;;;
16201;Quirihue;Quirihue.svg;;;;;;;;;
06101;Rancagua;Rancagua.svg;;;;;;;;;
16206;Ránquil;Ranquil.png;;;;;;;;;
07305;Rauco;Rauco.svg;;;;;;;;;
13127;Recoleta;Recoleta.svg;;;;;;;;;
09209;Renaico;Renaico.svg;;;;;;;;;
13128;Renca;Renca.svg;;;;;;;;;
06115;Rengo;Rengo.svg;;;;;;;;;
06116;Requínoa;Requinoa.png;;;;;;;;;
07405;Retiro;Retiro.png;;;;;;;;;
05303;Rinconada;Rinconada.svg;;;;;;;;;
14204;Río Bueno;Rio Bueno.svg;;;;;;;;;
07108;Río Claro;Rio Claro.png;;;;;;;;;
04305;Río Hurtado;Rio Hurtado.png;;;;;;;;;
11402;Río Ibáñez;Rio Ibañez.svg;;;;;;;;;
10305;Río Negro;Rio Negro.svg;;;;;;;;;
12103;Río Verde;Rio Verde.png;;;;;;;;;
07306;Romeral;Romeral.png;;;;;;;;;
09116;Saavedra;Saavedra.svg;;;;;;;;;
07307;Sagrada Familia;Sagrada Familia.svg;;;;;;;;;
04204;Salamanca;Salamanca.svg;;;;;;;;;
05601;San Antonio;San Antonio.svg;;;;;;;;;
13401;San Bernardo;San Bernardo.svg;;;;;;;;;
16301;San Carlos;San Carlos.svg;;;;;;;;;
07109;San Clemente;San Clemente.png;;;;;;;;;
05304;San Esteban;San Esteban.png;;;;;;;;;
16304;San Fabián;San Fabian.svg;;;;;;;;;
05701;San Felipe;San Felipe.svg;;;;;;;;;
06301;San Fernando;San Fernando.svg;;;;;;;;;
12104;San Gregorio;San Gregorio.png;;;;;;;;;
16108;San Ignacio;San Ignacio.svg;;;;;;;;;
07406;San Javier;San Javier.svg;;;;;;;;;
13129;San Joaquín;San Joaquin.svg;;;;;;;;;
13203;San José de Maipo;San Jose De Maipo.svg;;;;;;;;;
10306;San Juan de la Costa;San Juan De La Costa.png;;;;;;;;;
13130;San Miguel;San Miguel.svg;;;;;;;;;
16305;San Nicolás;San Nicolas.svg;;;;;;;;;
10307;San Pablo;San Pablo.png;;;;;;;;;
13505;San Pedro;San Pedro.svg;;;;;;;;;
02203;San Pedro de Atacama;San Pedro De Atacama.svg;;;;;;;;;
08108;San Pedro de la Paz;San Pedro De La Paz.png;;;;;;;;;
07110;San Rafael;San Rafael.svg;;;;;;;;;
13131;San Ramón;San Ramon.svg;;;;;;;;;
08310;San Rosendo;San Rosendo.png;;;;;;;;;
06117;San Vicente;San Vicente.png;;;;;;;;;
08311;Santa Bárbara;Santa Barbara.svg;;;;;;;;;
06310;Santa Cruz;Santa Cruz.svg;;;;;;;;;
08109;Santa Juana;Santa Juana.svg;;;;;;;;;
05706;Santa María;Santa Maria.png;;;;;;;;;
13101;Santiago Centro;Santiago Centro.svg;;;;;;;;;
05606;Santo Domingo;Santo Domingo.png;;;;;;;;;
02103;Sierra Gorda;Sierra Gorda.svg;;;;;;;;;
13601;Talagante;Talagante.svg;;;;;;;;;
07101;Talca;Talca.svg;;;;;;;;;
08110;Talcahuano;Talcahuano.svg;;;;;;;;;
02104;Taltal;Taltal.svg;;;;;;;;;
09101;Temuco;Temuco.svg;;;;;;;;;
07308;Teno;Teno.png;;;;;;;;;
09117;Teodoro Schmidt;Teodoro Schmidt.png;;;;;;;;;
03103;Tierra Amarilla;Tierra Amarilla.svg;;;;;;;;;
13303;Tiltil;Tiltil.svg;;;;;;;;;
12303;Timaukel;Timaukel.png;;;;;;;;;
08207;Tirúa;Tirua.svg;;;;;;;;;
02301;Tocopilla;Tocopilla.svg;;;;;;;;;
09118;Toltén;Tolten.png;;;;;;;;;
08111;Tomé;Tome.svg;;;;;;;;;
12402;Torres del Paine;Torres Del Paine.png;;;;;;;;;
11303;Tortel;Tortel.png;;;;;;;;;
09210;Traiguén;Traiguen.png;;;;;;;;;
16207;Treguaco;Trehuaco.svg;;;;;;;;;
08312;Tucapel;Tucapel.svg;;;;;;;;;
14101;Valdivia;Valdivia.svg;;;;;;;;;
03301;Vallenar;Vallenar.png;;;;;;;;;
05101;Valparaíso;Valparaiso.svg;;;;;;;;;
07309;Vichuquén;Vichuquen.png;;;;;;;;;
09211;Victoria;Victoria.svg;;;;;;;;;
04106;Vicuña;Vicuña.png;;;;;;;;;
09119;Vilcún;Vilcun.png;;;;;;;;;
07407;Villa Alegre;Villa Alegre.svg;;;;;;;;;
05804;Villa Alemana;Villa Alemana.svg;;;;;;;;;
09120;Villarrica;Villarrica.svg;;;;;;;;;
05109;Viña del Mar;Viña Del Mar.svg;;;;;;;;;
13132;Vitacura;Vitacura.svg;;;;;;;;;
07408;Yerbas Buenas;Yerbas Buenas.svg;;;;;;;;;
08313;Yumbel;Yumbel.svg;;;;;;;;;
16109;Yungay;Yungay.svg;;;;;;;;;
05405;Zapallar;Zapallar.svg;;;;;;;;;
